participant_id,age,gender,education,scenario,scenario_type,decision,reaction_time,emotional_response,关爱/伤害,公平/欺骗,忠诚/背叛,权威/颠覆,圣洁/堕落
8,19,女,硕士及以上,2,职业伦理,6,11.59,4,2,3,2,6,2
8,19,女,硕士及以上,3,职业伦理,6,10.4,2,2,3,2,6,2
8,19,女,硕士及以上,4,职业伦理,5,7.26,2,2,3,2,6,2
8,19,女,硕士及以上,5,环境伦理,6,7.95,3,2,3,2,6,2
9,54,女,硕士及以上,1,职业伦理,6,10.17,3,2,2,3,2,3
9,54,女,硕士及以上,2,环境伦理,3,28.9,2,2,2,3,2,3
9,54,女,硕士及以上,3,职业伦理,2,24.42,3,2,2,3,2,3
9,54,女,硕士及以上,4,职业伦理,3,12.28,5,2,2,3,2,3
9,54,女,硕士及以上,5,个人道德困境,2,28.32,3,2,2,3,2,3
10,24,女,本科,1,职业伦理,7,17.13,1,7,3,5,2,3
10,24,女,本科,2,环境伦理,3,12.86,3,7,3,5,2,3
10,24,女,本科,3,社会道德困境,7,27.27,5,7,3,5,2,3
10,24,女,本科,4,个人道德困境,2,12.48,4,7,3,5,2,3
10,24,女,本科,5,社会道德困境,3,10.61,4,7,3,5,2,3
11,36,女,高中及以下,1,环境伦理,1,25.39,2,6,7,5,2,2
11,36,女,高中及以下,2,环境伦理,1,7.02,4,6,7,5,2,2
11,36,女,高中及以下,3,数字伦理,2,13.36,3,6,7,5,2,2
11,36,女,高中及以下,4,社会道德困境,2,4.41,4,6,7,5,2,2
11,36,女,高中及以下,5,环境伦理,4,23.57,3,6,7,5,2,2
12,19,男,硕士及以上,1,职业伦理,1,16.87,2,7,6,3,4,3
12,19,男,硕士及以上,2,数字伦理,3,21.53,4,7,6,3,4,3
12,19,男,硕士及以上,3,社会道德困境,4,12.7,4,7,6,3,4,3
12,19,男,硕士及以上,4,环境伦理,7,1.18,2,7,6,3,4,3
12,19,男,硕士及以上,5,环境伦理,1,15.38,5,7,6,3,4,3
13,59,女,本科,1,社会道德困境,4,21.23,5,1,6,6,6,3
13,59,女,本科,2,数字伦理,1,25.62,1,1,6,6,6,3
13,59,女,本科,3,个人道德困境,6,6.75,2,1,6,6,6,3
13,59,女,本科,4,环境伦理,5,2.53,5,1,6,6,6,3
13,59,女,本科,5,个人道德困境,4,15.7,2,1,6,6,6,3
14,58,男,硕士及以上,1,职业伦理,5,23.87,4,7,4,4,7,5
14,58,男,硕士及以上,2,个人道德困境,3,22.86,5,7,4,4,7,5
14,58,男,硕士及以上,3,环境伦理,2,28.36,4,7,4,4,7,5
14,58,男,硕士及以上,4,社会道德困境,1,19.7,3,7,4,4,7,5
14,58,男,硕士及以上,5,数字伦理,2,24.08,3,7,4,4,7,5
15,37,男,硕士及以上,1,环境伦理,2,22.66,2,6,6,6,7,5
15,37,男,硕士及以上,2,职业伦理,2,3.55,4,6,6,6,7,5
15,37,男,硕士及以上,3,社会道德困境,7,22.02,3,6,6,6,7,5
15,37,男,硕士及以上,4,个人道德困境,4,21.28,3,6,6,6,7,5
15,37,男,硕士及以上,5,职业伦理,7,16.73,3,6,6,6,7,5
16,35,女,高中及以下,1,个人道德困境,3,22.99,5,6,2,6,7,6
16,35,女,高中及以下,2,职业伦理,6,3.32,3,6,2,6,7,6
16,35,女,高中及以下,3,职业伦理,2,7.48,4,6,2,6,7,6
16,35,女,高中及以下,4,社会道德困境,2,3.73,1,6,2,6,7,6
16,35,女,高中及以下,5,职业伦理,7,13.16,1,6,2,6,7,6
17,59,男,本科,1,个人道德困境,2,25.96,1,4,4,1,1,5
17,59,男,本科,2,个人道德困境,3,28.59,1,4,4,1,1,5
17,59,男,本科,3,数字伦理,3,21.93,5,4,4,1,1,5
17,59,男,本科,4,个人道德困境,5,4.6,4,4,4,1,1,5
17,59,男,本科,5,社会道德困境,4,26.65,2,4,4,1,1,5
18,55,女,高中及以下,1,个人道德困境,1,8.64,2,1,3,2,6,6
18,55,女,高中及以下,2,数字伦理,4,19.87,5,1,3,2,6,6
18,55,女,高中及以下,3,职业伦理,4,24.94,4,1,3,2,6,6
18,55,女,高中及以下,4,环境伦理,6,24.31,4,1,3,2,6,6
18,55,女,高中及以下,5,社会道德困境,5,1.72,4,1,3,2,6,6
19,64,男,本科,1,环境伦理,4,4.79,3,7,3,1,3,1
19,64,男,本科,2,社会道德困境,1,2.99,1,7,3,1,3,1
19,64,男,本科,3,职业伦理,3,14.6,4,7,3,1,3,1
19,64,男,本科,4,职业伦理,5,17.06,3,7,3,1,3,1
19,64,男,本科,5,数字伦理,7,27.33,5,7,3,1,3,1
20,43,男,本科,1,数字伦理,2,6.41,1,7,6,3,7,7
20,43,男,本科,2,个人道德困境,6,11.1,4,7,6,3,7,7
20,43,男,本科,3,数字伦理,5,14.74,4,7,6,3,7,7
20,43,男,本科,4,数字伦理,6,26.75,5,7,6,3,7,7
20,43,男,本科,5,数字伦理,6,4.97,2,7,6,3,7,7
21,44,女,高中及以下,1,职业伦理,7,16.61,4,6,7,2,5,1
21,44,女,高中及以下,2,环境伦理,4,14.64,4,6,7,2,5,1
21,44,女,高中及以下,3,环境伦理,4,10.98,1,6,7,2,5,1
21,44,女,高中及以下,4,个人道德困境,4,19.89,2,6,7,2,5,1
21,44,女,高中及以下,5,环境伦理,4,25.52,2,6,7,2,5,1
22,24,男,高中及以下,1,社会道德困境,4,17.1,4,7,7,1,1,4
22,24,男,高中及以下,2,环境伦理,7,6.79,2,7,7,1,1,4
22,24,男,高中及以下,3,数字伦理,6,27.35,5,7,7,1,1,4
22,24,男,高中及以下,4,职业伦理,6,2.06,3,7,7,1,1,4
22,24,男,高中及以下,5,职业伦理,3,14.46,1,7,7,1,1,4
23,36,男,高中及以下,1,个人道德困境,1,28.82,5,2,5,6,5,1
23,36,男,高中及以下,2,数字伦理,4,5.49,3,2,5,6,5,1
23,36,男,高中及以下,3,个人道德困境,3,2.63,2,2,5,6,5,1
23,36,男,高中及以下,4,环境伦理,2,10.6,5,2,5,6,5,1
23,36,男,高中及以下,5,数字伦理,4,3.44,2,2,5,6,5,1
24,27,男,硕士及以上,1,环境伦理,3,22.48,4,2,7,4,7,7
24,27,男,硕士及以上,2,环境伦理,4,16.68,3,2,7,4,7,7
24,27,男,硕士及以上,3,个人道德困境,2,18.89,4,2,7,4,7,7
24,27,男,硕士及以上,4,数字伦理,5,27.24,5,2,7,4,7,7
24,27,男,硕士及以上,5,个人道德困境,6,11.67,1,2,7,4,7,7
25,27,男,硕士及以上,1,环境伦理,6,10.0,4,6,1,3,4,3
25,27,男,硕士及以上,2,个人道德困境,7,18.52,5,6,1,3,4,3
25,27,男,硕士及以上,3,职业伦理,3,8.96,5,6,1,3,4,3
25,27,男,硕士及以上,4,环境伦理,3,13.16,2,6,1,3,4,3
25,27,男,硕士及以上,5,环境伦理,6,22.35,3,6,1,3,4,3
26,61,男,硕士及以上,1,个人道德困境,2,25.34,2,4,6,5,3,6
26,61,男,硕士及以上,2,个人道德困境,3,28.14,4,4,6,5,3,6
26,61,男,硕士及以上,3,职业伦理,3,9.46,3,4,6,5,3,6
26,61,男,硕士及以上,4,数字伦理,5,6.56,5,4,6,5,3,6
26,61,男,硕士及以上,5,环境伦理,5,13.66,1,4,6,5,3,6
27,64,男,本科,1,个人道德困境,4,20.25,1,5,7,6,1,6
27,64,男,本科,2,环境伦理,7,18.78,5,5,7,6,1,6
27,64,男,本科,3,个人道德困境,5,7.48,3,5,7,6,1,6
27,64,男,本科,4,社会道德困境,5,9.81,5,5,7,6,1,6
27,64,男,本科,5,职业伦理,2,17.63,5,5,7,6,1,6
28,21,男,本科,1,社会道德困境,4,28.65,3,7,4,1,5,5
28,21,男,本科,2,数字伦理,6,25.12,1,7,4,1,5,5
28,21,男,本科,3,环境伦理,2,6.28,4,7,4,1,5,5
28,21,男,本科,4,数字伦理,2,3.67,1,7,4,1,5,5
28,21,男,本科,5,个人道德困境,3,13.67,1,7,4,1,5,5
29,33,女,硕士及以上,1,数字伦理,2,12.17,1,4,4,1,5,4
29,33,女,硕士及以上,2,个人道德困境,5,21.51,1,4,4,1,5,4
29,33,女,硕士及以上,3,职业伦理,3,26.98,5,4,4,1,5,4
29,33,女,硕士及以上,4,职业伦理,1,17.51,3,4,4,1,5,4
29,33,女,硕士及以上,5,数字伦理,6,2.38,1,4,4,1,5,4
30,53,女,硕士及以上,1,职业伦理,2,20.17,3,3,1,1,1,6
30,53,女,硕士及以上,2,环境伦理,2,23.21,2,3,1,1,1,6
30,53,女,硕士及以上,3,数字伦理,7,17.37,1,3,1,1,1,6
30,53,女,硕士及以上,4,数字伦理,6,15.74,1,3,1,1,1,6
30,53,女,硕士及以上,5,数字伦理,3,7.26,4,3,1,1,1,6
31,62,男,本科,1,社会道德困境,7,7.45,3,5,5,7,7,3
31,62,男,本科,2,职业伦理,1,25.03,4,5,5,7,7,3
31,62,男,本科,3,个人道德困境,1,20.93,5,5,5,7,7,3
31,62,男,本科,4,数字伦理,2,20.09,3,5,5,7,7,3
31,62,男,本科,5,社会道德困境,4,23.09,4,5,5,7,7,3
32,38,男,硕士及以上,1,社会道德困境,4,5.37,1,1,7,1,3,1
32,38,男,硕士及以上,2,社会道德困境,5,23.07,3,1,7,1,3,1
32,38,男,硕士及以上,3,个人道德困境,4,15.51,4,1,7,1,3,1
32,38,男,硕士及以上,4,社会道德困境,1,26.36,5,1,7,1,3,1
32,38,男,硕士及以上,5,个人道德困境,2,9.64,1,1,7,1,3,1
33,49,男,硕士及以上,1,职业伦理,6,11.48,1,7,5,6,4,2
33,49,男,硕士及以上,2,环境伦理,7,16.17,2,7,5,6,4,2
33,49,男,硕士及以上,3,职业伦理,5,28.47,4,7,5,6,4,2
33,49,男,硕士及以上,4,环境伦理,5,1.19,1,7,5,6,4,2
33,49,男,硕士及以上,5,社会道德困境,1,9.95,4,7,5,6,4,2
34,63,男,硕士及以上,1,数字伦理,7,25.25,2,2,1,5,7,2
34,63,男,硕士及以上,2,数字伦理,2,15.36,3,2,1,5,7,2
34,63,男,硕士及以上,3,个人道德困境,1,29.1,2,2,1,5,7,2
34,63,男,硕士及以上,4,职业伦理,4,19.91,3,2,1,5,7,2
34,63,男,硕士及以上,5,数字伦理,1,1.17,4,2,1,5,7,2
35,29,女,高中及以下,1,数字伦理,3,25.16,4,3,4,6,6,4
35,29,女,高中及以下,2,社会道德困境,7,17.15,1,3,4,6,6,4
35,29,女,高中及以下,3,数字伦理,1,20.83,4,3,4,6,6,4
35,29,女,高中及以下,4,环境伦理,2,29.28,5,3,4,6,6,4
35,29,女,高中及以下,5,社会道德困境,2,17.53,4,3,4,6,6,4
36,60,男,本科,1,个人道德困境,7,28.37,2,1,5,2,7,1
36,60,男,本科,2,社会道德困境,1,21.55,3,1,5,2,7,1
36,60,男,本科,3,社会道德困境,1,22.64,2,1,5,2,7,1
36,60,男,本科,4,职业伦理,2,11.42,2,1,5,2,7,1
36,60,男,本科,5,个人道德困境,1,20.53,3,1,5,2,7,1
37,48,男,硕士及以上,1,个人道德困境,6,13.41,1,3,6,1,6,4
37,48,男,硕士及以上,2,环境伦理,6,3.27,5,3,6,1,6,4
37,48,男,硕士及以上,3,环境伦理,2,17.93,2,3,6,1,6,4
37,48,男,硕士及以上,4,环境伦理,5,20.74,3,3,6,1,6,4
37,48,男,硕士及以上,5,环境伦理,2,21.13,3,3,6,1,6,4
38,49,女,本科,1,环境伦理,7,24.8,5,2,5,2,6,2
38,49,女,本科,2,环境伦理,6,14.76,4,2,5,2,6,2
38,49,女,本科,3,职业伦理,4,11.8,4,2,5,2,6,2
38,49,女,本科,4,职业伦理,2,24.32,1,2,5,2,6,2
38,49,女,本科,5,数字伦理,2,27.4,3,2,5,2,6,2
39,48,男,本科,1,环境伦理,4,21.27,5,4,6,2,6,4
39,48,男,本科,2,社会道德困境,2,16.67,4,4,6,2,6,4
39,48,男,本科,3,个人道德困境,2,7.17,5,4,6,2,6,4
39,48,男,本科,4,职业伦理,3,4.67,5,4,6,2,6,4
39,48,男,本科,5,环境伦理,3,29.0,1,4,6,2,6,4
40,41,女,高中及以下,1,环境伦理,2,4.86,5,6,7,1,7,2
40,41,女,高中及以下,2,个人道德困境,2,18.64,3,6,7,1,7,2
40,41,女,高中及以下,3,个人道德困境,1,27.65,3,6,7,1,7,2
40,41,女,高中及以下,4,社会道德困境,7,28.63,2,6,7,1,7,2
40,41,女,高中及以下,5,数字伦理,7,15.23,2,6,7,1,7,2
41,23,男,本科,1,社会道德困境,3,17.98,2,5,3,5,6,7
41,23,男,本科,2,环境伦理,5,11.14,2,5,3,5,6,7
41,23,男,本科,3,环境伦理,7,25.96,3,5,3,5,6,7
41,23,男,本科,4,职业伦理,7,28.5,3,5,3,5,6,7
41,23,男,本科,5,环境伦理,1,27.29,3,5,3,5,6,7
42,32,女,高中及以下,1,职业伦理,6,11.05,4,2,3,7,1,3
42,32,女,高中及以下,2,职业伦理,2,16.12,3,2,3,7,1,3
42,32,女,高中及以下,3,数字伦理,2,21.98,4,2,3,7,1,3
42,32,女,高中及以下,4,数字伦理,4,25.34,4,2,3,7,1,3
42,32,女,高中及以下,5,个人道德困境,1,16.78,4,2,3,7,1,3
43,31,男,高中及以下,1,数字伦理,4,24.32,2,5,6,2,4,2
43,31,男,高中及以下,2,个人道德困境,6,17.21,2,5,6,2,4,2
43,31,男,高中及以下,3,环境伦理,3,24.2,4,5,6,2,4,2
43,31,男,高中及以下,4,社会道德困境,2,15.35,3,5,6,2,4,2
43,31,男,高中及以下,5,环境伦理,1,6.16,1,5,6,2,4,2
44,52,女,硕士及以上,1,数字伦理,7,3.54,5,2,5,7,1,6
44,52,女,硕士及以上,2,社会道德困境,7,29.94,1,2,5,7,1,6
44,52,女,硕士及以上,3,环境伦理,6,23.34,1,2,5,7,1,6
44,52,女,硕士及以上,4,个人道德困境,2,14.26,3,2,5,7,1,6
44,52,女,硕士及以上,5,职业伦理,1,8.78,2,2,5,7,1,6
45,43,男,硕士及以上,1,环境伦理,7,20.47,3,6,4,6,4,3
45,43,男,硕士及以上,2,个人道德困境,4,13.31,5,6,4,6,4,3
45,43,男,硕士及以上,3,数字伦理,4,25.54,4,6,4,6,4,3
45,43,男,硕士及以上,4,数字伦理,1,28.65,1,6,4,6,4,3
45,43,男,硕士及以上,5,个人道德困境,6,18.87,4,6,4,6,4,3
46,53,女,本科,1,数字伦理,3,28.2,2,1,2,5,5,3
46,53,女,本科,2,数字伦理,3,25.47,5,1,2,5,5,3
46,53,女,本科,3,社会道德困境,1,5.7,5,1,2,5,5,3
46,53,女,本科,4,社会道德困境,2,17.08,3,1,2,5,5,3
46,53,女,本科,5,职业伦理,7,16.17,1,1,2,5,5,3
47,56,女,高中及以下,1,数字伦理,1,2.14,1,2,4,5,1,4
47,56,女,高中及以下,2,职业伦理,2,2.23,5,2,4,5,1,4
47,56,女,高中及以下,3,数字伦理,6,25.16,2,2,4,5,1,4
47,56,女,高中及以下,4,社会道德困境,3,3.57,4,2,4,5,1,4
47,56,女,高中及以下,5,职业伦理,1,7.61,5,2,4,5,1,4
48,36,女,硕士及以上,1,职业伦理,2,5.62,1,1,3,2,1,5
48,36,女,硕士及以上,2,职业伦理,5,19.82,2,1,3,2,1,5
48,36,女,硕士及以上,3,职业伦理,5,19.97,5,1,3,2,1,5
48,36,女,硕士及以上,4,个人道德困境,4,13.65,3,1,3,2,1,5
48,36,女,硕士及以上,5,职业伦理,5,23.84,2,1,3,2,1,5
49,47,男,高中及以下,1,职业伦理,7,25.03,2,7,2,6,5,5
49,47,男,高中及以下,2,个人道德困境,5,23.99,3,7,2,6,5,5
49,47,男,高中及以下,3,社会道德困境,1,26.52,4,7,2,6,5,5
49,47,男,高中及以下,4,职业伦理,3,26.68,4,7,2,6,5,5
49,47,男,高中及以下,5,环境伦理,5,4.52,4,7,2,6,5,5
50,42,男,本科,1,个人道德困境,4,14.26,1,1,6,7,4,6
50,42,男,本科,2,职业伦理,6,13.9,4,1,6,7,4,6
50,42,男,本科,3,数字伦理,7,25.86,4,1,6,7,4,6
50,42,男,本科,4,环境伦理,1,28.45,2,1,6,7,4,6
50,42,男,本科,5,社会道德困境,5,21.09,1,1,6,7,4,6
51,64,男,高中及以下,1,职业伦理,6,15.13,5,5,3,5,7,5
51,64,男,高中及以下,2,社会道德困境,3,27.13,1,5,3,5,7,5
51,64,男,高中及以下,3,个人道德困境,6,27.73,3,5,3,5,7,5
51,64,男,高中及以下,4,社会道德困境,2,9.44,5,5,3,5,7,5
51,64,男,高中及以下,5,职业伦理,3,19.86,1,5,3,5,7,5
52,20,男,高中及以下,1,社会道德困境,7,20.07,3,4,7,7,6,2
52,20,男,高中及以下,2,社会道德困境,7,11.39,4,4,7,7,6,2
52,20,男,高中及以下,3,数字伦理,1,29.19,3,4,7,7,6,2
52,20,男,高中及以下,4,社会道德困境,4,12.7,1,4,7,7,6,2
52,20,男,高中及以下,5,数字伦理,2,4.83,2,4,7,7,6,2
53,43,女,硕士及以上,1,个人道德困境,6,23.05,1,4,3,5,3,2
53,43,女,硕士及以上,2,个人道德困境,3,2.82,3,4,3,5,3,2
53,43,女,硕士及以上,3,个人道德困境,2,27.17,1,4,3,5,3,2
53,43,女,硕士及以上,4,职业伦理,1,8.97,4,4,3,5,3,2
53,43,女,硕士及以上,5,个人道德困境,4,4.97,4,4,3,5,3,2
54,62,女,硕士及以上,1,个人道德困境,6,18.41,2,1,4,3,6,6
54,62,女,硕士及以上,2,个人道德困境,7,4.12,4,1,4,3,6,6
54,62,女,硕士及以上,3,环境伦理,2,2.61,5,1,4,3,6,6
54,62,女,硕士及以上,4,职业伦理,1,20.09,5,1,4,3,6,6
54,62,女,硕士及以上,5,数字伦理,2,20.9,1,1,4,3,6,6
55,32,男,硕士及以上,1,职业伦理,2,22.12,3,4,3,5,3,1
55,32,男,硕士及以上,2,数字伦理,2,21.23,4,4,3,5,3,1
55,32,男,硕士及以上,3,环境伦理,7,6.82,2,4,3,5,3,1
55,32,男,硕士及以上,4,社会道德困境,7,28.29,5,4,3,5,3,1
55,32,男,硕士及以上,5,数字伦理,1,15.16,1,4,3,5,3,1
56,53,男,硕士及以上,1,职业伦理,1,19.39,4,6,2,3,6,4
56,53,男,硕士及以上,2,职业伦理,7,26.83,4,6,2,3,6,4
56,53,男,硕士及以上,3,职业伦理,3,29.84,4,6,2,3,6,4
56,53,男,硕士及以上,4,社会道德困境,4,16.49,1,6,2,3,6,4
56,53,男,硕士及以上,5,社会道德困境,6,6.88,3,6,2,3,6,4
57,47,女,硕士及以上,1,职业伦理,3,15.95,1,7,2,3,5,6
57,47,女,硕士及以上,2,职业伦理,1,9.07,5,7,2,3,5,6
57,47,女,硕士及以上,3,环境伦理,5,19.41,4,7,2,3,5,6
57,47,女,硕士及以上,4,环境伦理,6,26.16,2,7,2,3,5,6
57,47,女,硕士及以上,5,环境伦理,6,23.1,2,7,2,3,5,6
58,31,女,硕士及以上,1,数字伦理,4,1.36,2,3,4,6,2,3
58,31,女,硕士及以上,2,环境伦理,1,26.14,2,3,4,6,2,3
58,31,女,硕士及以上,3,数字伦理,5,24.95,3,3,4,6,2,3
58,31,女,硕士及以上,4,职业伦理,6,11.22,5,3,4,6,2,3
58,31,女,硕士及以上,5,职业伦理,3,13.53,2,3,4,6,2,3
59,47,男,硕士及以上,1,个人道德困境,1,25.38,5,1,2,2,1,3
59,47,男,硕士及以上,2,职业伦理,7,21.48,2,1,2,2,1,3
59,47,男,硕士及以上,3,数字伦理,2,5.09,1,1,2,2,1,3
59,47,男,硕士及以上,4,职业伦理,3,25.57,4,1,2,2,1,3
59,47,男,硕士及以上,5,个人道德困境,2,22.65,2,1,2,2,1,3
60,57,女,高中及以下,1,职业伦理,2,15.45,3,2,4,7,3,3
60,57,女,高中及以下,2,环境伦理,1,26.1,1,2,4,7,3,3
60,57,女,高中及以下,3,数字伦理,3,8.72,1,2,4,7,3,3
60,57,女,高中及以下,4,个人道德困境,1,4.76,2,2,4,7,3,3
60,57,女,高中及以下,5,职业伦理,7,5.33,4,2,4,7,3,3
61,32,女,本科,1,环境伦理,6,11.05,1,2,4,2,5,5
61,32,女,本科,2,环境伦理,2,15.73,4,2,4,2,5,5
61,32,女,本科,3,个人道德困境,2,7.56,2,2,4,2,5,5
61,32,女,本科,4,环境伦理,5,4.48,2,2,4,2,5,5
61,32,女,本科,5,环境伦理,3,9.47,1,2,4,2,5,5
62,25,男,高中及以下,1,数字伦理,3,25.1,1,7,3,4,5,2
62,25,男,高中及以下,2,数字伦理,7,21.23,3,7,3,4,5,2
62,25,男,高中及以下,3,个人道德困境,2,16.19,1,7,3,4,5,2
62,25,男,高中及以下,4,数字伦理,4,3.95,5,7,3,4,5,2
62,25,男,高中及以下,5,数字伦理,4,11.19,1,7,3,4,5,2
63,29,男,本科,1,数字伦理,2,1.55,5,7,7,7,1,4
63,29,男,本科,2,职业伦理,3,27.5,1,7,7,7,1,4
63,29,男,本科,3,职业伦理,4,9.34,3,7,7,7,1,4
63,29,男,本科,4,环境伦理,3,26.41,2,7,7,7,1,4
63,29,男,本科,5,环境伦理,3,10.61,1,7,7,7,1,4
64,59,男,本科,1,个人道德困境,4,4.37,5,6,4,7,1,6
64,59,男,本科,2,数字伦理,7,2.14,4,6,4,7,1,6
64,59,男,本科,3,个人道德困境,2,1.45,3,6,4,7,1,6
64,59,男,本科,4,环境伦理,7,16.47,1,6,4,7,1,6
64,59,男,本科,5,环境伦理,1,12.86,2,6,4,7,1,6
65,55,女,本科,1,职业伦理,7,28.85,2,7,4,5,2,6
65,55,女,本科,2,数字伦理,7,4.77,5,7,4,5,2,6
65,55,女,本科,3,数字伦理,1,1.87,2,7,4,5,2,6
65,55,女,本科,4,职业伦理,7,13.99,3,7,4,5,2,6
65,55,女,本科,5,社会道德困境,2,9.18,2,7,4,5,2,6
66,18,女,高中及以下,1,环境伦理,3,10.03,3,1,7,3,6,1
66,18,女,高中及以下,2,环境伦理,3,5.4,2,1,7,3,6,1
66,18,女,高中及以下,3,数字伦理,7,19.6,5,1,7,3,6,1
66,18,女,高中及以下,4,社会道德困境,2,26.3,4,1,7,3,6,1
66,18,女,高中及以下,5,环境伦理,4,6.6,3,1,7,3,6,1
67,42,男,本科,1,数字伦理,2,9.97,3,4,4,1,3,1
67,42,男,本科,2,个人道德困境,5,29.29,1,4,4,1,3,1
67,42,男,本科,3,环境伦理,1,26.09,5,4,4,1,3,1
67,42,男,本科,4,职业伦理,3,15.22,1,4,4,1,3,1
67,42,男,本科,5,环境伦理,1,27.76,2,4,4,1,3,1
68,34,男,本科,1,个人道德困境,6,5.68,2,3,3,7,7,3
68,34,男,本科,2,社会道德困境,5,16.35,5,3,3,7,7,3
68,34,男,本科,3,职业伦理,4,5.09,2,3,3,7,7,3
68,34,男,本科,4,个人道德困境,2,21.56,4,3,3,7,7,3
68,34,男,本科,5,职业伦理,6,13.32,4,3,3,7,7,3
69,40,男,高中及以下,1,职业伦理,1,4.41,3,5,2,7,5,5
69,40,男,高中及以下,2,个人道德困境,2,15.43,5,5,2,7,5,5
69,40,男,高中及以下,3,环境伦理,5,5.51,5,5,2,7,5,5
69,40,男,高中及以下,4,社会道德困境,5,9.41,4,5,2,7,5,5
69,40,男,高中及以下,5,环境伦理,7,17.14,2,5,2,7,5,5
70,22,女,本科,1,环境伦理,3,28.62,2,6,6,5,6,4
70,22,女,本科,2,数字伦理,1,27.8,5,6,6,5,6,4
70,22,女,本科,3,环境伦理,6,28.61,3,6,6,5,6,4
70,22,女,本科,4,职业伦理,1,25.42,1,6,6,5,6,4
70,22,女,本科,5,数字伦理,5,7.01,4,6,6,5,6,4
71,35,男,高中及以下,1,职业伦理,4,2.25,1,3,6,7,7,3
71,35,男,高中及以下,2,社会道德困境,5,11.73,5,3,6,7,7,3
71,35,男,高中及以下,3,环境伦理,1,16.67,3,3,6,7,7,3
71,35,男,高中及以下,4,环境伦理,7,21.2,5,3,6,7,7,3
71,35,男,高中及以下,5,数字伦理,5,11.16,3,3,6,7,7,3
72,30,男,本科,1,职业伦理,1,5.08,2,5,6,2,5,5
72,30,男,本科,2,数字伦理,3,17.89,3,5,6,2,5,5
72,30,男,本科,3,社会道德困境,5,6.75,2,5,6,2,5,5
72,30,男,本科,4,个人道德困境,1,26.47,5,5,6,2,5,5
72,30,男,本科,5,个人道德困境,4,22.2,1,5,6,2,5,5
73,48,男,硕士及以上,1,数字伦理,1,10.37,1,2,1,1,7,3
73,48,男,硕士及以上,2,环境伦理,7,21.42,5,2,1,1,7,3
73,48,男,硕士及以上,3,职业伦理,4,19.68,3,2,1,1,7,3
73,48,男,硕士及以上,4,个人道德困境,4,7.8,1,2,1,1,7,3
73,48,男,硕士及以上,5,数字伦理,6,17.83,5,2,1,1,7,3
74,62,女,高中及以下,1,个人道德困境,2,23.67,5,2,6,5,6,4
