respondent_id,age,gender,income,region,value_orientation,moral_self_score,q1,q2,q3,q4,q5
201,45,男,中等收入,农村,混合,6,2,1,3,2,4
202,26,男,高收入,农村,混合,1,2,4,5,1,4
203,53,男,低收入,农村,集体主义,8,4,3,1,4,5
204,23,男,高收入,农村,集体主义,10,3,1,5,3,5
205,37,女,低收入,城市,混合,9,5,3,1,2,1
206,64,女,高收入,农村,集体主义,7,3,4,5,3,2
207,18,女,低收入,农村,集体主义,7,3,2,1,3,1
208,33,女,高收入,城市,集体主义,7,5,3,1,3,4
209,23,男,中等收入,城市,集体主义,2,4,5,5,4,2
210,31,男,低收入,城市,个人主义,5,3,3,3,2,4
211,36,女,高收入,农村,集体主义,8,3,1,2,3,4
212,19,男,中等收入,农村,集体主义,7,4,5,5,4,5
213,22,男,高收入,农村,个人主义,7,3,2,4,5,1
214,18,女,低收入,城市,集体主义,4,3,4,2,1,5
215,26,女,中等收入,农村,集体主义,1,3,5,1,4,5
216,47,男,低收入,农村,个人主义,6,3,4,1,2,4
217,60,女,高收入,城市,集体主义,5,3,5,2,1,3
218,40,女,高收入,农村,个人主义,6,2,3,2,3,3
219,44,女,低收入,城市,个人主义,8,3,1,4,4,5
220,59,男,低收入,农村,个人主义,6,2,3,4,4,3
221,32,女,低收入,农村,个人主义,6,1,1,1,1,4
222,25,男,高收入,城市,混合,2,3,4,5,5,4
223,50,男,低收入,城市,集体主义,4,5,1,1,1,1
224,64,男,高收入,农村,个人主义,6,1,1,4,5,4
225,57,男,高收入,城市,集体主义,10,3,4,3,5,1
226,54,女,高收入,农村,混合,9,5,5,1,3,4
227,55,男,高收入,城市,混合,10,1,1,1,5,1
228,30,女,高收入,农村,个人主义,7,1,1,5,1,1
229,65,男,低收入,农村,混合,1,4,2,4,5,4
230,40,女,低收入,农村,集体主义,3,5,5,4,2,5
231,50,男,低收入,城市,个人主义,2,1,1,2,5,5
232,48,女,中等收入,城市,集体主义,3,4,3,3,4,1
233,30,女,高收入,城市,集体主义,5,5,5,4,3,4
234,47,女,中等收入,城市,混合,8,4,2,3,3,2
235,60,女,中等收入,城市,混合,2,3,3,5,5,2
236,56,女,中等收入,农村,集体主义,7,4,4,1,2,5
237,50,女,低收入,农村,混合,7,1,5,4,2,4
238,59,男,高收入,城市,集体主义,4,5,3,2,1,4
239,58,男,高收入,城市,集体主义,2,3,3,5,2,5
240,36,男,低收入,城市,集体主义,6,3,1,5,1,3
241,59,女,低收入,农村,混合,6,1,4,2,2,5
242,62,男,中等收入,城市,混合,1,2,4,1,5,4
243,58,女,高收入,城市,混合,1,1,3,5,2,5
244,66,男,低收入,城市,集体主义,4,4,5,5,3,5
245,42,男,高收入,城市,个人主义,7,1,3,2,2,3
246,42,男,低收入,农村,混合,1,2,3,4,2,1
247,68,女,低收入,农村,集体主义,1,5,4,4,2,2
248,21,男,低收入,农村,混合,3,1,4,5,1,1
249,59,男,中等收入,城市,个人主义,1,3,3,2,4,1
250,44,男,中等收入,城市,个人主义,2,1,2,3,4,4
251,51,女,高收入,农村,集体主义,4,3,1,2,4,5
252,41,男,低收入,农村,个人主义,3,1,5,3,4,3
253,54,女,中等收入,城市,集体主义,1,5,4,1,5,3
254,39,男,低收入,城市,集体主义,4,3,5,1,5,2
255,23,女,高收入,城市,混合,8,1,1,3,5,1
256,32,女,中等收入,城市,混合,7,2,2,3,3,1
257,59,女,中等收入,城市,个人主义,4,3,1,5,4,1
258,26,女,中等收入,农村,个人主义,6,3,1,2,1,4
259,30,男,低收入,城市,个人主义,10,1,3,5,5,1
260,23,男,低收入,农村,混合,10,4,1,3,1,3
261,39,女,中等收入,城市,个人主义,5,1,3,1,4,2
262,56,男,低收入,城市,个人主义,8,3,1,4,3,2
263,59,女,中等收入,农村,个人主义,4,2,2,2,2,4
264,43,女,高收入,城市,混合,5,2,5,1,1,5
265,22,女,中等收入,城市,个人主义,10,3,1,4,2,5
266,48,男,高收入,城市,个人主义,10,3,1,2,2,2
267,52,男,中等收入,农村,混合,4,5,3,5,2,1
268,18,男,高收入,城市,混合,3,2,1,1,1,3
269,37,男,低收入,农村,个人主义,9,1,5,2,5,3
270,19,女,中等收入,城市,集体主义,3,3,1,2,5,4
271,49,女,高收入,农村,混合,4,2,1,5,1,3
272,63,男,低收入,农村,个人主义,3,1,1,5,2,5
273,23,女,高收入,城市,混合,5,3,3,5,4,5
274,37,女,中等收入,城市,个人主义,1,2,3,4,3,1
275,42,男,低收入,城市,个人主义,5,2,5,4,2,5
276,31,女,高收入,农村,集体主义,9,4,3,1,5,1
277,20,男,中等收入,城市,混合,7,4,3,2,3,2
278,27,女,高收入,农村,个人主义,6,3,5,3,5,2
279,23,男,中等收入,农村,集体主义,2,4,3,5,3,3
280,58,男,高收入,农村,集体主义,1,5,1,5,3,5
281,57,女,高收入,城市,混合,2,3,5,2,5,3
282,66,男,高收入,城市,混合,8,5,1,5,2,4
283,56,女,低收入,城市,混合,8,1,2,1,3,1
284,46,女,低收入,农村,集体主义,6,5,4,3,2,2
285,56,男,中等收入,农村,集体主义,5,3,4,1,1,5
286,33,女,高收入,城市,集体主义,1,5,5,2,4,5
287,24,男,中等收入,农村,混合,6,5,1,5,3,2
288,30,男,低收入,城市,混合,7,4,3,3,1,4
289,53,男,低收入,城市,集体主义,6,5,2,3,1,5
290,56,男,中等收入,城市,个人主义,8,1,4,5,4,3
291,23,男,低收入,城市,混合,8,3,2,3,1,5
292,54,女,高收入,农村,混合,7,5,3,5,3,5
293,22,男,低收入,农村,集体主义,2,4,1,4,2,2
294,32,男,低收入,城市,集体主义,6,5,3,5,5,2
295,60,男,高收入,农村,混合,6,2,1,4,1,5
296,59,女,低收入,农村,混合,3,1,1,3,2,2
297,32,男,低收入,城市,集体主义,8,4,5,1,3,5
298,43,男,中等收入,农村,个人主义,6,3,4,1,2,5
299,44,女,高收入,农村,混合,2,3,2,2,4,1
300,67,女,高收入,农村,个人主义,6,1,4,3,5,4
301,56,女,低收入,城市,个人主义,5,2,3,1,3,2
302,32,男,低收入,农村,混合,5,3,5,1,1,2
303,63,男,低收入,城市,集体主义,4,5,5,2,1,1
304,44,男,低收入,城市,集体主义,4,4,1,2,2,4
305,31,女,高收入,城市,混合,8,3,1,2,5,4
306,23,女,低收入,农村,混合,2,3,1,1,1,4
307,29,男,高收入,城市,个人主义,4,3,2,2,5,5
308,45,女,低收入,城市,混合,7,3,2,5,1,1
309,64,女,中等收入,农村,集体主义,10,4,3,2,2,4
310,49,女,中等收入,城市,个人主义,4,1,5,3,3,3
311,64,女,低收入,城市,个人主义,4,3,4,5,1,1
312,58,女,高收入,农村,集体主义,2,4,4,2,5,1
313,56,男,高收入,城市,个人主义,2,1,2,5,3,4
314,22,男,高收入,城市,混合,9,4,1,1,3,2
315,46,男,中等收入,农村,集体主义,2,3,1,1,2,2
316,28,男,低收入,城市,个人主义,10,2,1,3,5,2
317,58,男,中等收入,城市,集体主义,2,5,1,4,5,4
318,36,男,低收入,城市,混合,1,2,4,3,5,1
319,31,男,中等收入,城市,混合,4,1,5,1,2,5
320,33,女,低收入,农村,个人主义,6,2,1,3,1,5
321,50,女,高收入,农村,集体主义,9,3,1,2,2,2
322,58,男,中等收入,农村,混合,5,1,5,3,5,3
323,52,男,低收入,城市,集体主义,5,5,5,2,4,4
324,60,男,低收入,农村,个人主义,9,2,5,2,3,4
325,57,男,低收入,农村,集体主义,9,5,2,4,4,2
326,46,男,高收入,农村,个人主义,1,3,2,1,3,3
327,19,男,高收入,农村,集体主义,6,3,2,1,5,2
328,44,男,高收入,农村,集体主义,6,5,5,3,4,2
329,50,女,低收入,农村,个人主义,1,3,4,2,1,3
330,40,男,高收入,农村,混合,1,4,5,3,5,3
331,27,女,低收入,农村,个人主义,4,3,2,3,2,3
332,19,女,高收入,农村,集体主义,8,4,3,1,3,4
333,55,女,高收入,城市,混合,7,2,1,4,4,5
334,64,男,高收入,城市,个人主义,8,3,1,3,4,2
335,55,男,低收入,农村,混合,9,5,1,2,4,2
336,66,女,低收入,农村,集体主义,10,5,1,2,1,3
337,36,女,低收入,农村,混合,2,1,5,3,4,2
338,60,男,低收入,城市,混合,6,5,2,2,3,3
339,64,男,低收入,农村,混合,7,2,2,2,5,3
340,51,女,高收入,城市,个人主义,3,3,4,2,2,1
341,46,男,高收入,城市,个人主义,2,3,4,1,5,3
342,30,男,低收入,城市,混合,1,5,3,2,3,1
343,40,男,高收入,城市,集体主义,4,5,2,2,5,4
344,55,男,高收入,城市,集体主义,6,5,1,1,4,2
345,55,女,高收入,农村,混合,3,1,2,5,5,2
346,41,男,中等收入,农村,个人主义,3,1,2,1,2,3
347,65,女,中等收入,农村,混合,2,3,5,5,2,3
348,47,女,中等收入,城市,集体主义,8,5,4,5,2,5
349,47,女,中等收入,农村,混合,5,2,3,4,3,5
350,21,男,中等收入,城市,集体主义,7,5,4,1,1,4
351,32,男,高收入,城市,混合,7,1,3,2,2,5
352,45,女,高收入,城市,个人主义,1,1,5,2,3,2
353,63,男,高收入,农村,混合,2,5,3,4,5,4
354,63,女,低收入,农村,混合,7,1,1,3,1,2
355,43,女,中等收入,农村,集体主义,10,5,4,5,1,2
356,25,女,中等收入,城市,混合,1,1,5,3,2,5
357,52,女,高收入,农村,集体主义,2,3,3,4,3,3
358,27,男,高收入,城市,集体主义,3,4,3,5,4,3
359,20,男,高收入,城市,集体主义,9,4,4,5,5,2
360,65,男,高收入,农村,集体主义,6,3,2,2,5,4
361,43,男,高收入,农村,集体主义,1,4,5,2,2,3
362,32,女,低收入,农村,个人主义,2,2,2,5,3,2
363,49,女,高收入,农村,个人主义,8,1,1,2,1,4
364,60,女,中等收入,城市,个人主义,5,1,3,1,2,5
365,58,女,低收入,城市,集体主义,5,4,4,5,4,2
366,43,男,低收入,城市,混合,6,2,1,3,4,1
367,42,男,高收入,农村,混合,4,3,4,2,4,1
368,45,男,中等收入,城市,集体主义,5,4,5,5,1,3
369,47,男,低收入,城市,个人主义,6,2,5,1,5,5
370,32,女,低收入,城市,个人主义,10,1,2,2,2,4
371,27,女,中等收入,农村,混合,4,2,2,5,5,1
372,25,男,低收入,农村,集体主义,5,4,1,2,4,3
373,27,男,高收入,城市,混合,9,5,5,1,4,5
374,22,女,中等收入,农村,混合,4,4,4,1,4,4
375,58,女,低收入,农村,个人主义,8,3,2,5,1,1
376,29,男,中等收入,农村,个人主义,4,2,5,1,1,5
377,33,男,中等收入,城市,个人主义,10,3,3,3,3,2
378,41,女,高收入,城市,个人主义,4,2,4,3,5,5
379,24,男,中等收入,城市,个人主义,6,3,1,4,2,2
380,48,女,低收入,农村,集体主义,9,3,3,5,1,5
381,20,女,低收入,农村,混合,7,2,3,2,1,3
382,51,女,低收入,城市,个人主义,5,1,5,4,2,1
383,26,女,低收入,城市,混合,10,4,1,3,1,2
384,19,男,低收入,城市,混合,7,5,5,4,2,4
385,30,男,中等收入,城市,混合,7,4,2,3,4,2
386,18,男,中等收入,城市,集体主义,6,4,4,2,5,3
387,41,男,高收入,农村,个人主义,5,1,5,1,4,5
388,24,女,低收入,城市,个人主义,4,2,1,2,1,1
389,67,男,高收入,城市,混合,3,5,4,2,3,2
390,62,男,低收入,城市,混合,7,5,2,3,5,5
391,52,女,中等收入,农村,个人主义,8,2,2,5,4,5
392,30,男,中等收入,城市,个人主义,3,2,4,5,3,3
393,24,男,高收入,城市,混合,2,3,4,5,5,3
394,54,女,中等收入,农村,个人主义,1,2,1,3,2,1
395,21,女,高收入,农村,集体主义,4,5,4,2,5,1
396,24,男,中等收入,城市,集体主义,10,4,5,2,2,3
397,19,女,低收入,城市,集体主义,8,4,4,4,4,2
398,25,男,高收入,农村,个人主义,4,2,4,3,2,1
399,24,男,中等收入,农村,混合,7,2,1,5,4,5
400,33,男,中等收入,农村,个人主义,5,1,4,3,3,2
401,69,女,中等收入,农村,混合,2,3,5,3,2,4
402,40,女,高收入,农村,个人主义,1,1,5,4,2,4
403,63,女,高收入,城市,混合,8,2,2,5,3,3
404,69,女,低收入,农村,个人主义,5,1,1,2,4,5
405,27,男,高收入,城市,个人主义,9,1,4,4,1,3
406,66,女,高收入,农村,个人主义,2,3,2,5,2,3
407,48,女,中等收入,城市,混合,6,2,5,4,4,5
408,50,女,低收入,城市,集体主义,3,4,2,1,5,2
409,52,男,高收入,农村,个人主义,6,3,4,3,1,2
410,37,女,低收入,城市,个人主义,10,2,5,4,1,2
411,45,男,低收入,农村,集体主义,3,5,5,4,4,2
412,35,女,高收入,农村,混合,4,4,3,5,5,4
413,35,女,高收入,农村,集体主义,2,3,5,5,5,2
414,42,女,低收入,农村,个人主义,1,1,2,2,5,1
415,33,女,中等收入,城市,混合,6,1,5,3,3,1
416,69,女,低收入,农村,个人主义,5,3,2,5,4,5
417,41,男,高收入,城市,混合,1,3,2,5,3,3
418,26,男,中等收入,城市,集体主义,4,3,5,1,5,1
419,51,男,高收入,农村,混合,7,2,4,5,4,1
420,61,男,中等收入,农村,集体主义,7,3,2,2,5,1
421,40,女,高收入,农村,个人主义,1,1,2,1,4,5
422,49,女,高收入,农村,集体主义,2,3,5,3,4,3
423,44,男,低收入,城市,个人主义,1,3,1,3,4,2
424,68,男,高收入,城市,混合,4,1,4,2,4,4
425,21,男,高收入,农村,集体主义,2,5,1,2,2,3
426,54,男,中等收入,农村,混合,4,3,5,3,3,2
427,53,男,中等收入,农村,混合,10,1,1,2,1,4
428,21,女,低收入,城市,集体主义,7,5,3,2,1,1
429,32,男,中等收入,城市,混合,10,1,2,2,2,1
430,41,女,低收入,农村,集体主义,4,5,4,4,5,3
431,48,女,高收入,城市,集体主义,8,4,4,3,3,4
432,18,男,低收入,城市,个人主义,5,3,5,4,5,1
433,59,女,中等收入,农村,混合,9,5,5,3,3,1
434,29,女,中等收入,城市,集体主义,1,4,2,4,5,4
435,48,男,高收入,农村,集体主义,7,3,3,4,2,2
436,38,男,高收入,城市,个人主义,6,3,3,4,3,1
437,47,男,高收入,城市,个人主义,5,2,4,1,1,4
438,51,男,中等收入,农村,集体主义,4,4,5,1,5,5
439,58,女,高收入,农村,个人主义,2,3,2,5,4,5
440,65,女,中等收入,城市,集体主义,10,5,2,5,5,3
441,54,女,中等收入,农村,个人主义,10,1,5,5,2,2
442,69,男,高收入,农村,个人主义,3,1,2,2,1,3
443,43,女,低收入,城市,个人主义,7,2,3,1,1,5
444,53,女,低收入,农村,个人主义,10,3,5,4,2,3
445,29,女,高收入,城市,混合,2,5,4,5,5,2
446,55,女,中等收入,城市,个人主义,1,2,2,2,1,2
447,35,女,低收入,城市,集体主义,4,3,3,3,1,2
448,47,男,高收入,城市,集体主义,4,4,2,4,1,3
449,59,男,低收入,城市,个人主义,8,2,1,1,4,5
450,49,男,高收入,农村,集体主义,8,5,2,4,1,1
451,29,女,高收入,农村,个人主义,10,2,5,4,5,3
452,38,男,高收入,农村,集体主义,10,3,1,3,2,3
453,58,女,中等收入,城市,个人主义,9,1,3,1,3,4
454,45,男,低收入,城市,集体主义,8,5,3,4,2,1
455,42,男,中等收入,城市,集体主义,5,3,2,4,5,2
456,27,男,低收入,农村,混合,3,1,1,2,1,4
457,54,女,中等收入,城市,混合,2,5,5,5,1,2
458,22,女,低收入,农村,集体主义,5,5,2,5,4,4
459,37,男,高收入,农村,个人主义,9,2,2,4,1,4
460,23,女,中等收入,城市,集体主义,7,5,3,4,1,5
461,29,男,高收入,农村,集体主义,7,5,1,3,3,1
462,62,女,高收入,城市,个人主义,6,1,2,2,5,2
463,63,女,中等收入,城市,个人主义,3,3,5,4,4,3
464,34,女,中等收入,农村,个人主义,10,2,2,1,1,1
465,61,男,中等收入,城市,集体主义,8,4,2,1,4,4
466,30,男,高收入,城市,混合,7,5,5,5,3,4
467,28,男,高收入,城市,个人主义,5,1,2,5,4,2
468,28,男,低收入,城市,个人主义,6,1,1,3,2,4
469,23,男,低收入,农村,个人主义,7,1,3,1,3,3
